Color ID;RGB Value;Color Name;Preview
1030;7DB538;Modulex Pastel Green;
1031;7C9051;Modulex Olive Green;
1032;27867E;Modulex Aqua Green;
1033;467083;Modulex Teal Blue;
1034;0057A6;Modulex Tile Blue;
1035;61AFFF;Modulex Medium Blue;
1036;68AECE;Modulex Pastel Blue;
1037;BD7D85;Modulex Violet;
1038;F785B1;Modulex Pink;
1039;FFFFFF;Modulex Clear;
1040;595D60;Modulex Foil Dark Gray;
1041;9C9C9C;Modulex Foil Light Gray;
1042;006400;Modulex Foil Dark Green;
1043;7DB538;Modulex Foil Light Green;
1044;0057A6;Modulex Foil Dark Blue;
1045;68AECE;Modulex Foil Light Blue;
1046;4B0082;Modulex Foil Violet;
1047;8B0000;Modulex Foil Red;
1048;FED557;Modulex Foil Yellow;
1049;F7AD63;Modulex Foil Orange;
1050;FF698F;Coral;
1051;5AC4DA;Pastel Blue;
1052;F08F1C;Glitter Trans-Orange;
1053;68BCC5;Opal Trans-Light Blue;
1054;CE1D9B;Opal Trans-Dark Pink;
1055;FCFCFC;Opal Trans-Clear;
1056;583927;Opal Trans-Brown;
1057;C9E788;Trans-Light Bright Green;
1058;94E5AB;Trans-Light Green;
1059;8320B7;Opal Trans-Purple;
1060;84B68D;Opal Trans-Bright Green;
1061;0020A0;Opal Trans-Dark Blue;
1062;EBD800;Vibrant Yellow;
1063;B46A00;Pearl Copper;
1064;FF8014;Fabuland Red;
1065;AC8247;Reddish Gold;
1066;DD982E;Curry;
1067;AD6140;Dark Nougat;
1068;EE5434;Bright Reddish Orange;
1069;D60026;Pearl Red;
1070;0059A3;Pearl Blue;
1071;008E3C;Pearl Green;
1072;57392C;Pearl Brown;
1073;0A1327;Pearl Black;
1074;009ECE;Duplo Blue;
1075;3E95B6;Duplo Medium Blue;
1076;FFF230;Duplo Lime;
1077;78FC78;Fabuland Lime;
1078;468A5F;Duplo Medium Green;
1079;60BA76;Duplo Light Green;
1080;F3C988;Light Tan;
1081;872B17;Rust Orange;
1082;FE78B0;Clikits Pink;
1083;945148;Two-tone Copper;
1084;AB673A;Two-tone Gold;
1085;737271;Two-tone Silver;
1086;6A7944;Pearl Lime;
1087;FF879C;Duplo Pink;
1088;755945;Medium Brown;
1089;CCA373;Warm Tan;
1090;3FB69E;Duplo Turquoise;
1091;FFCB78;Warm Yellowish Orange;
1092;764D3B;Metallic Copper;
1093;9195CA;Light Lilac;
1094;8D73B3;Trans-Medium Purple;
1095;635F52;Trans-Black;
1096;D9E4A7;Glitter Trans-Bright Green;
1097;8D73B3;Glitter Trans-Medium Purple;
1098;84B68D;Glitter Trans-Green;
1099;E4ADC8;Glitter Trans-Pink;
1100;FFCF0B;Clikits Yellow;
1101;5F27AA;Duplo Dark Purple;
1102;FF0040;Trans-Neon Red;
1103;3E3C39;Pearl Titanium;
1104;B3D7D1;HO Aqua;
1105;1591CB;HO Azure;
1106;354E5A;HO Blue-gray;
1107;5B98B3;HO Cyan;
1108;A7DCCF;HO Dark Aqua;
1109;0A3463;HO Dark Blue;
1110;6D6E5C;HO Dark Gray;
1111;184632;HO Dark Green;
1112;B2B955;HO Dark Lime;
1113;631314;HO Dark Red;
1114;627A62;HO Dark Sand Green;
1115;10929D;HO Dark Turquoise;
1116;BB771B;HO Earth Orange;
1117;B4A774;HO Gold;
1118;A3D1C0;HO Light Aqua;
1119;965336;HO Light Brown;
1120;CDC298;HO Light Gold;
1121;F9F1C7;HO Light Tan;
1122;F5FAB7;HO Light Yellow;
1123;7396C8;HO Medium Blue;
1124;C01111;HO Medium Red;
1125;0D4763;HO Metallic Blue;
1126;5E5E5E;HO Metallic Dark Gray;
1127;879867;HO Metallic Green;
1128;5F7D8C;HO Metallic Sand Blue;
1129;9B9A5A;HO Olive Green;
1130;D06262;HO Rose;
1131;6E8AA6;HO Sand Blue;
1132;A0BCAC;HO Sand Green;
1133;E4CD9E;HO Tan;
1134;616161;HO Titanium;
1135;A5ADB4;Metal;
1136;CA4C0B;Reddish Orange;
1137;915C3C;Sienna Brown;
1138;5E3F33;Umber Brown;
1139;F5CD2F;Opal Trans-Yellow;
1140;EC4612;Neon Orange;
1141;D2FC43;Neon Green;
1142;5D5C36;Dark Olive Green;
1143;FFFFFF;Glitter Milky White;
1144;CE3021;Chrome Red;
1145;DD9E47;Ochre Yellow;
9999;05131D;[No Color/Any Color];
